"PO number prefix","PO number","PO number suffix","Vendor","Organization type","Order type","Acquisitions units","Approval date","Assigned to","Bill to","Ship to","Manual","Re-encumber","Created by","Created on","Note","Workflow status","Approved","Renewal interval","Subscription","Manual renewal","Ongoing notes","Review period","Renewal date","Review date","PO tags","POLine number","Title","Instance UUID","Subscription from","Subscription to","Subscription interval","Receiving note","Publisher","Edition","Linked package","Contributor, Contributor type","Product ID, Qualifier, Product ID type","Internal note","Acquisition method","Order format","Created on (PO Line)","Receipt date","Receipt status","Payment status","Source","Donor","Selector","Requester","Cancellation restriction","Cancellation description","Rush","Collection","Line description","Vendor reference number, reference type","Instructions to vendor","Account number","Physical unit price","Quantity physical","Electronic unit price","Quantity electronic","Discount","Estimated price","Currency","Fund code, Expense class, Value, Amount","Location, Quantity P, Quantity E","Material supplier","Receipt due","Expected receipt date","Volumes","Create inventory","Material type","Access provider","Activation status","Activation due","Create inventory E","Material type E","Trial","Expected activation","User limit","URL","POLine tags","Renewal note"
,"11413",,"autotest_code_579.8630162023491321","","One-Time","","12/13/2023, 2:15 PM",,,,false,false,"folio-aqa","12/13/2023, 2:14 PM","","Open",true,,,,,,,,,"11413-1","1-bit symphony [realia] / Tristan Perich.","bfbb2ae1-2244-4053-9584-749a51e41f2f",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023","12/13/2023","Fully Received","Awaiting Payment","User",,,,,,false,false,,"","","",25,1,,,"""""""percentage""",25,"USD","""285.9331513395919318""""""""25""""25""","""autotest_location_code_476.1707809935346852""""1""""0""","autotest_code_579.8630162023491321",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11412",,"autotest_code_301.4092610552633690","","One-Time","","12/13/2023, 2:14 PM",,,,false,true,"folio-aqa","12/13/2023, 2:14 PM","","Open",false,,,,,,,,,"11412-1","1-bit symphony [realia] / Tristan Perich.","9e893d48-2146-4a89-a1a5-87388cf2a84e",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",10,1,,,"""""""percentage""",10,"USD","""653.8989741691322687""""""""10""""10""","""autotest_location_code_780.9450595790374546""""1""""0""","autotest_code_301.4092610552633690",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11411",,"autotest_code_999.643390297012462","","One-Time","","12/13/2023, 2:14 PM",,,,false,true,"folio-aqa","12/13/2023, 2:14 PM","","Open",false,,,,,,,,,"11411-1","1-bit symphony [realia] / Tristan Perich.","9e893d48-2146-4a89-a1a5-87388cf2a84e",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",110,1,,,"""""""percentage""",110,"USD","""264.9961808557168358""""test_class_920.927881603457677""""110""""110""","""autotest_location_code_353.138069798778822""""1""""0""","autotest_code_999.643390297012462",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11409",,"autotest_code_254.86625605069503328","","One-Time","","12/13/2023, 2:14 PM",,,,false,true,"folio-aqa","12/13/2023, 2:13 PM","","Open",true,,,,,,,,,"11409-1","1-bit symphony [realia] / Tristan Perich.","bfbb2ae1-2244-4053-9584-749a51e41f2f",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Fully Paid","User",,,,,,false,false,,"","","",40,1,,,"""""""percentage""",40,"USD","""297.1845453777346325""""test_class_372.94376384791786341""""40""""40""","""autotest_location_code_268.869814428474306""""1""""0""","autotest_code_254.86625605069503328",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11410",,"Invalid reference",,"Ongoing","","12/13/2023, 2:13 PM",,,,false,true,"folio-aqa","12/13/2023, 2:13 PM","","Open",false,,false,false,,,,,,"11410-1","autotest_po_line_name-764.0950784642786584",,,,0,,,,,"","",,"Other","Other","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","1234",100,1,,,"""""""percentage""",100,"USD","""488.3314391737756517""""""""100%""""100""","","Invalid reference",,,"","None",,,false,,"None",,false,,,,,
,"11407",,"Invalid reference",,"Ongoing","","12/13/2023, 2:13 PM",,,,false,true,"folio-aqa","12/13/2023, 2:13 PM","","Open",false,,false,false,,,,,,"11407-1","autotest_po_line_name-196.81828649081706916",,,,0,,,,,"","",,"Other","Other","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","1234",100,1,,,"""""""percentage""",100,"USD","""162.82297949717207798""""""""100%""""100""","","Invalid reference",,,"","None",,,false,,"None",,false,,,,,
,"11406",,"Invalid reference",,"One-Time","","12/13/2023, 2:12 PM",,,,false,true,"folio-aqa","12/13/2023, 2:12 PM","","Open",true,,,,,,,,,"11406-1","autotest_po_line_name-395.0878586574892930",,,,0,,,,,"","",,"Other","Other","12/13/2023",,"Awaiting Receipt","Fully Paid","User",,,,,,false,false,,"","","1234",98,1,,,"""""""percentage""",98,"USD","""365.1901780460816267""""""""100%""""98""","","Invalid reference",,,"","None",,,false,,"None",,false,,,,,
,"11405",,"Invalid reference",,"One-Time","","12/13/2023, 2:12 PM",,,,false,true,"folio-aqa","12/13/2023, 2:12 PM","","Open",true,,,,,,,,,"11405-1","autotest_po_line_name-196.06038705241673805",,,,0,,,,,"","",,"Other","Other","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","1234",98,1,,,"""""""percentage""",98,"USD","""352.722336026236451""""""""100%""""98""","","Invalid reference",,,"","None",,,false,,"None",,false,,,,,
,"11404",,"Invalid reference",,"One-Time","","12/13/2023, 2:12 PM",,,,false,true,"folio-aqa","12/13/2023, 2:12 PM","","Open",true,,,,,,,,,"11404-1","autotest_po_line_name-853.5028760047657255",,,,0,,,,,"","",,"Other","Other","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","1234",98,1,,,"""""""percentage""",98,"USD","""168.9649937463034522""""""""100%""""98""","","Invalid reference",,,"","None",,,false,,"None",,false,,,,,
,"11402",,"autotest_code_715.13907591182437","","Ongoing","","12/13/2023, 2:11 PM",,,,false,false,"folio-aqa","12/13/2023, 2:11 PM","","Open",true,,false,false,,,,,,"11402-1","#1917 : semnadt︠s︡atʹ ocherkov po istorii Rossiĭskoĭ revoli︠u︡t︠s︡ii / Boris Kolonit︠s︡kiĭ.","7b209fa9-19ce-45d9-869d-c19f690ec98e",,,,,"Evropeĭskiĭ universitet v Sankt-Peterburge","",,"""Kolonit︠s︡kiĭ, B. I.""""Personal name"" | ""Колоницкий, Б. И.""""Personal name""","""9785943802430""""""""ISBN""",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","840.3822762022339598",40,1,,,"""""""percentage""",40,"USD","""105.78219215287692432""""""""40""""40""","""autotest_location_code_587.3234134373371394""""1""""0""","autotest_code_715.13907591182437",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11401",,"autotest_code_220.31874264402194420","","Ongoing","","12/13/2023, 2:11 PM",,,,false,true,"folio-aqa","12/13/2023, 2:10 PM","","Open",true,,false,false,,,,,,"11401-1","Autotest Tetle_150.490054666709421","2c0b8b34-d4a6-49b9-99c9-a6132794c4b3",,,,,,,,"","",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",10,2,,,"""""""percentage""",20,"USD","""164.06169236453832579""""""""100%""""20""","""KU/CC/DI/M""""2""""0""","autotest_code_220.31874264402194420",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11400",,"Invalid reference",,"One-Time","","12/13/2023, 2:10 PM",,,,false,false,"folio-aqa","12/13/2023, 2:10 PM","","Open",false,,,,,,,,,"11400-1","autotest_title_228.59834364183033252","4cc8aad4-dd21-4729-a06a-ad6ed1b13164",,,,,,,,"","",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",10,5,,,"""""""percentage""",50,"USD","""875.4887482651917249""""""""100%""""50""","""E""""5""""0""","Invalid reference",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11399",,"Invalid reference",,"Ongoing","","12/13/2023, 2:09 PM",,,,false,true,"folio-aqa","12/13/2023, 2:09 PM","","Open",false,,false,false,,,,,,"11399-1","autotest_po_line_name-178.9943530726992371",,,,0,,,,,"","",,"Other","Other","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","1234",100,1,,,"""""""percentage""",100,"USD","""417.8481639633301335""""""""100%""""100""","","Invalid reference",,,"","None",,,false,,"None",,false,,,,,
,"11398",,"Invalid reference",,"Ongoing","","12/13/2023, 2:08 PM",,,,false,true,"folio-aqa","12/13/2023, 2:08 PM","","Open",false,,false,false,,,,,,"11398-1","#1917 : semnadt︠s︡atʹ ocherkov po istorii Rossiĭskoĭ revoli︠u︡t︠s︡ii / Boris Kolonit︠s︡kiĭ.","7b209fa9-19ce-45d9-869d-c19f690ec98e",,,,,"Evropeĭskiĭ universitet v Sankt-Peterburge","",,"""Kolonit︠s︡kiĭ, B. I.""""Personal name"" | ""Колоницкий, Б. И.""""Personal name""","""9785943802430""""""""ISBN""",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",20,1,,,"""""""percentage""",20,"USD","""520.7143821848066370""""""""20""""20""","""autotest_location_code_892.1407170829866349""""1""""0""","Invalid reference",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11397",,"autotest_code_568.4928350804885918","","Ongoing","","12/13/2023, 2:08 PM",,,,false,true,"folio-aqa","12/13/2023, 2:07 PM","","Open",false,,false,false,,,,,,"11397-1","1-bit symphony [realia] / Tristan Perich.","ec266230-6606-4ffb-9e0b-d9ae21e3d740",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",10,1,,,"""""""percentage""",10,"USD","""605.696325325868915""""""""10""""10""","""autotest_location_code_864.4650184524223612""""1""""0""","autotest_code_568.4928350804885918",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11394",,"autotest_code_350.90029052506384898","","One-Time","","12/13/2023, 2:07 PM",,,,false,true,"folio-aqa","12/13/2023, 2:07 PM","","Open",true,,,,,,,,,"11394-1","1-bit symphony [realia] / Tristan Perich.","0c2d1520-7b03-46cb-8a79-561e03a4eba0",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",10,1,,,"""""""percentage""",10,"USD","""855.1577281612986895""""""""10""""10""","""autotest_location_code_887.9238927690794518""""1""""0""","autotest_code_350.90029052506384898",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11395",,"Invalid reference",,"One-Time","","12/13/2023, 2:07 PM",,,,false,true,"folio-aqa","12/13/2023, 2:06 PM","","Open",false,,,,,,,,,"11395-1","autotest_po_line_name-910.0728296607583855",,,,0,,,,,"","",,"Other","Other","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","1234",98,1,,,"""""""percentage""",98,"USD","""835.5008620189963181""""""""100%""""98""","","Invalid reference",,,"","None",,,false,,"None",,false,,,,,
,"11390",,"autotest_code_347.04180881584557204","","Ongoing","","12/13/2023, 2:06 PM",,,,false,true,"folio-aqa","12/13/2023, 2:05 PM","","Open",true,,false,false,,,,,,"11390-1","1-bit symphony [realia] / Tristan Perich.","dc24ad77-506d-4c43-86da-78d93425363a",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",10,1,,,"""""""percentage""",10,"USD","""362.3950310228553201""""test_class_785.509548966009219""""10""""10""","""autotest_location_code_155.23136458680148135""""1""""0""","autotest_code_347.04180881584557204",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11388",,"autotest_code_968.3409246645871400","","One-Time","","12/13/2023, 2:05 PM",,,,false,true,"folio-aqa","12/13/2023, 2:04 PM","","Open",true,,,,,,,,,"11388-1","""Genchō hishi"" Mongorugo zentango gobi sakuin / Kuribayashi Hitoshi, Choijinjabu hen = Word- and suffix-index to The Secret history of the Mongols, based on the romanized transcription of L. Ligeti / compiled by Hitoshi Kuribayashi and Choijinjab.","c25cc4b8-0ab4-43e2-80cd-a8d335c7df6a",,,,,"Tōhoku Daigaku Tōhoku Ajia Kenkyū Sentā","",,"""Kuribayashi, Hitoshi. added""""Personal name"" | ""Choijinjab""""Personal name"" | ""栗林均""""Personal name""","""9784901449038""""""""ISBN""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",10,1,,,"""""""percentage""",10,"USD","""157.8131099000655398""""""""10""""10""","""autotest_location_code_253.29473716809284749""""1""""0""","autotest_code_968.3409246645871400",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11387",,"Invalid reference",,"One-Time","","12/13/2023, 2:04 PM",,,,false,true,"folio-aqa","12/13/2023, 2:04 PM","","Open",false,,,,,,,,,"11387-2","autotest_po_line_name-882.6253718639309529",,,,0,,,,,"","",,"Other","Other","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","1234",10,1,,,"""""""percentage""",10,"USD","""561.922208048318337""""""""100%""""10""","","Invalid reference",,,"","None",,,false,,"None",,false,,,,,
,"11387",,"Invalid reference",,"One-Time","","12/13/2023, 2:04 PM",,,,false,true,"folio-aqa","12/13/2023, 2:04 PM","","Open",false,,,,,,,,,"11387-1","autotest_po_line_name-445.90093257581543529",,,,0,,,,,"","",,"Other","Other","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","1234",10,1,,,"""""""percentage""",10,"USD","""561.922208048318337""""""""100%""""10""","","Invalid reference",,,"","None",,,false,,"None",,false,,,,,
,"11386",,"autotest_code_777.843520552994510","","Ongoing","","12/13/2023, 2:01 PM",,,,false,true,"folio-aqa","12/13/2023, 2:00 PM","","Open",false,,false,false,,,,,,"11386-1","1-bit symphony [realia] / Tristan Perich.","fee972ce-cb36-457e-b42d-de13c312d65a",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",1100,1,,,"""""""percentage""",1100,"USD","""150.306065445414338""""""""1100""""1100""","""autotest_location_code_527.7642086979048288""""1""""0""","autotest_code_777.843520552994510",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11381",,"autotest_code_767.2246840341006242","","Ongoing","","12/13/2023, 9:54 AM",,,,false,true,"folio-aqa","12/13/2023, 9:52 AM","","Open",true,,false,false,,,,,,"11381-1","Autotest Tetle_676.8089060633198243","6e2fb335-18e4-4008-ba03-d0e6bb4414f4",,,,,,,,"","",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",10,2,,,"""""""percentage""",20,"USD","""480.8801719443977357""""""""100%""""20""","""KU/CC/DI/M""""2""""0""","autotest_code_767.2246840341006242",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11380",,"autotest_code_763.9035880765001324","","One-Time","","12/13/2023, 9:53 AM",,,,false,true,"Invalid reference","12/13/2023, 9:52 AM","","Open",false,,,,,,,,,"11380-1","1-bit symphony [realia] / Tristan Perich.","16a0da98-297f-4e80-91df-3afd525ac38f",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",100,1,,,"""""""percentage""",100,"EUR","""849.5590611005592323""""""""100%""""100""","""autotest_location_code_647.4318430047192201""""1""""0""","autotest_code_763.9035880765001324",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11380",,"autotest_code_763.9035880765001324","","One-Time","","12/13/2023, 9:53 AM",,,,false,true,"Invalid reference","12/13/2023, 9:52 AM","","Open",false,,,,,,,,,"11380-2","1-bit symphony [realia] / Tristan Perich.","fa7e3a5a-1492-4fda-82d6-2f3553f2c8ec",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",100,1,,,"""""""percentage""",100,"PLN","""849.5590611005592323""""""""100%""""100""","""autotest_location_code_647.4318430047192201""""1""""0""","autotest_code_763.9035880765001324",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11357",,"autotest_code_561.3174448367711649","","Ongoing","","12/13/2023, 9:35 AM",,,,false,true,"folio-aqa","12/13/2023, 9:35 AM","","Open",true,,false,false,,,,,,"11357-1","Autotest Tetle_117.91304974188765651","0f08b1e6-9fee-48b8-b0d0-52cee4743300",,,,,,,,"","",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",10,2,,,"""""""percentage""",20,"USD","""675.086176727673645""""""""100%""""20""","""KU/CC/DI/M""""2""""0""","autotest_code_561.3174448367711649",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11356",,"autotest_code_143.68320291107113174","","Ongoing","","12/13/2023, 9:35 AM",,,,false,true,"folio-aqa","12/13/2023, 9:35 AM","","Open",true,,false,false,,,,,,"11356-1","Autotest Tetle_906.7234513627199175","14a6d019-9ca9-4604-96b9-1f7ef1a149e3",,,,,,,,"","",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",10,2,,,"""""""percentage""",20,"USD","""867.6445066140928172""""""""100%""""20""","""KU/CC/DI/M""""2""""0""","autotest_code_143.68320291107113174",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11354",,"autotest_code_572.8891798297152565","","One-Time","","12/13/2023, 9:29 AM",,,,false,false,"folio-aqa","12/13/2023, 9:28 AM","","Open",true,,,,,,,,,"11354-1","1-bit symphony [realia] / Tristan Perich.","a451feb7-1e33-44c3-a64d-8ba5f8a540f8",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Purchase","Electronic Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","970.4067686545801689",,,10,5,"""""""percentage""",50,"USD","","""autotest_location_code_523.2649713885014108""""0""""5""",,,,,,,"autotest_code_572.8891798297152565",false,,"Instance, Holding","book",false,,,,,
,"11315",,"autotest_code_373.7119416777034393","","Ongoing","","12/12/2023, 4:23 PM",,,,false,true,"folio-aqa","12/12/2023, 4:21 PM","","Open",true,,false,false,,,,,,"11315-1","Autotest Tetle_822.6174141653138394","17956613-de91-4ad8-9865-9bd4764d6096",,,,,,,,"","",,"Depository","Physical Resource","12/12/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",10,2,,,"""""""percentage""",20,"USD","""753.9723809455161507""""""""100%""""20""","""KU/CC/DI/M""""2""""0""","autotest_code_373.7119416777034393",,,"","Instance, Holding, Item","book",,,,,,,,,,,
